Country,transaction
Germany,44312018
United States of America,32885815
Italy,26263252
Netherlands,16036746
Switzerland,12628256
Belgium,8976598
Greece,8322099
France,8297468
Austria,7071387
United Kingdom,6703446
Sweden,6686702
Canada,5106546
Denmark,2523244
Russia,1475820
Norway,1396141
Australia,1273958
Ireland,1204712
Finland,630484
Spain,603825
Poland,532987
New Zealand,467172
Luxembourg,448266
Hungary,384767
Romania,243124
Japan,225998
Brazil,172343
Singapore,131347
Hong Kong,126783
Czechia,123514
Liechtenstein,106683
Israel,102147
Ukraine,100210
Mexico,97040
South Africa,96325
Taiwan,85738
Portugal,74387
Faroe Islands,73911
Turkey,69584
Slovenia,69212
Colombia,63915
Serbia,63397
Thailand,62251
Chile,60957
Curaçao,48396
Morocco,39850
Slovak Republic,39794
Croatia,39078
Bosnia and Herzegovina,31321
China,30975
Argentina,30880
Iceland,29728
Monaco,28895
United Arab Emirates,28338
Belarus,27559
Angola,25449
Pakistan,24767
Puerto Rico,23602
Malta,23249
Estonia,22611
Tunisia,22078
Cyprus,21963
Algeria,21891
Indonesia,21564
Peru,21530
Republic of Lithuania,20890
not found,19905
India,19620
Latvia,18684
Malaysia,18399
Republic of Korea,18315
,18267
Bermuda,16973
Albania,12799
Vietnam,12436
Brunei,12397
Costa Rica,11785
Saudi Arabia,11781
Philippines,11206
Réunion,11186
Gabon,11121
Venezuela,10178
Mauritius,10092
Uruguay,8945
Åland,8938
Suriname,8497
Kenya,8398
Ecuador,8151
Haiti,8054
Zimbabwe,7855
French Polynesia,7693
Qatar,7692
Dominican Republic,7554
Panama,7354
Bulgaria,7342
New Caledonia,7303
"Bonaire, Sint Eustatius, and Saba",6426
Isle of Man,6132
Egypt,5692
Saint Lucia,5530
Barbados,5332
Jersey,5092
Montenegro,5058
Kazakhstan,4928
Oman,4898
Paraguay,4640
Trinidad and Tobago,4391
Zambia,4343
Namibia,4288
Saint Martin,3871
Martinique,3827
Belize,3702
Saint Pierre and Miquelon,3515
Rwanda,3419
Bolivia,3143
Grenada,2905
Tanzania,2811
Mali,2741
Guatemala,2560
Republic of Moldova,2506
El Salvador,2487
Hashemite Kingdom of Jordan,2441
Senegal,2429
French Guiana,2425
Congo,2294
Mayotte,2226
Nigeria,2106
Djibouti,2014
Bangladesh,1983
Jamaica,1780
Kuwait,1751
British Virgin Islands,1748
Ghana,1697
Fiji,1604
Iraq,1498
Gibraltar,1483
Greenland,1449
Laos,1440
Cambodia,1373
Lebanon,1299
Guernsey,1135
Cayman Islands,1094
Ivory Coast,1063
U.S. Virgin Islands,1017
Burkina Faso,957
Benin,914
Palestine,862
Macedonia,842
Saint Kitts and Nevis,817
Guyana,802
Guadeloupe,694
Saint Vincent and the Grenadines,663
Cameroon,656
Libya,627
Republic of the Congo,575
Bahamas,549
Saint-Barthélemy,547
Botswana,511
Nepal,509
Mozambique,455
Liberia,432
Antigua and Barbuda,294
Uzbekistan,261
Macao,260
Wallis and Futuna,228
Syria,227
Marshall Islands,209
Kyrgyzstan,151
Andorra,134
Sri Lanka,96
Azerbaijan,91
Seychelles,6
Kosovo,2
Aruba,1
Armenia,1
